Ano	Tmin	Tmax
1982	16.9	27.3
1983	21.0	28.6
1984	21.1	28.8
1985	17.9	28.0
1986	19.1	29.7
1987	18.3	27.6
1988	20.5	26.7
1989	19.6	29.0
1990	19.9	29.8
1991	21.2	27.6
1992	19.4	28.2
1993	20.5	29.0
1994	18.3	27.2
1995	13.4	26.2
1996	19.7	26.8
1997	21.1	29.6
1998	19.3	26.2
1999	19.0	26.9
2000	19.2	29.0
2001	20.1	28.3
2002	19.8	27.7
2003	19.5	28.6
2004	19.4	27.8
2005	19.0	30.4
2006	19.3	29.7
2007	19.5	29.5
2008	19.4	28.0
2009	18.2	28.2
2010	20.0	28.7
2011	21.0	29.9
2012	20.0	28.4
2013	17.6	27.5
2014	20.8	30.3
2015	20.2	29.1
2016	19.8	28.9
2017	19.7	28.9
